,state,rural_interstate,urban_interstate,freeway_expressway,other_arterial,minor_arterial,collector_arterial,local,unknown,total,year
0,Alabama,76.0,54.0,1.0,285.0,213.0,276.0,159.0,7.0,1071.0,1998
1,Alaska,20.0,2.0,2.0,10.0,12.0,15.0,8.0,1.0,70.0,1998
2,Arizona,167.0,34.0,13.0,285.0,188.0,196.0,88.0,9.0,980.0,1998
3,Arkansas,60.0,15.0,9.0,167.0,118.0,137.0,115.0,4.0,625.0,1998
4,California,218.0,248.0,308.0,1042.0,747.0,543.0,388.0,0.0,3494.0,1998
5,Colorado,84.0,39.0,30.0,189.0,125.0,87.0,74.0,0.0,628.0,1998
6,Connecticut,5.0,53.0,24.0,78.0,92.0,37.0,40.0,0.0,329.0,1998
7,Delaware,0.0,8.0,1.0,48.0,18.0,27.0,13.0,0.0,115.0,1998
8,District of Columbia,0.0,5.0,0.0,0.0,0.0,0.0,49.0,0.0,54.0,1998
9,Florida,168.0,167.0,79.0,1041.0,364.0,95.0,654.0,257.0,2825.0,1998
10,Georgia,107.0,95.0,20.0,393.0,359.0,336.0,253.0,5.0,1568.0,1998
11,Hawaii,1.0,8.0,8.0,30.0,35.0,26.0,12.0,0.0,120.0,1998
12,Idaho,57.0,3.0,0.0,74.0,36.0,57.0,31.0,7.0,265.0,1998
13,Illinois,88.0,105.0,5.0,338.0,236.0,205.0,416.0,0.0,1393.0,1998
14,Indiana,68.0,34.0,20.0,206.0,137.0,255.0,162.0,100.0,982.0,1998
15,Iowa,30.0,15.0,0.0,150.0,90.0,119.0,38.0,7.0,449.0,1998
16,Kansas,15.0,22.0,18.0,160.0,107.0,109.0,61.0,0.0,492.0,1998
17,Kentucky,53.0,34.0,2.0,157.0,141.0,316.0,155.0,0.0,858.0,1998
18,Louisiana,99.0,38.0,3.0,192.0,160.0,324.0,108.0,2.0,926.0,1998
19,Maine,14.0,2.0,8.0,30.0,39.0,59.0,38.0,2.0,192.0,1998
20,Maryland,21.0,47.0,30.0,166.0,113.0,86.0,59.0,84.0,606.0,1998
21,Massachusetts,8.0,34.0,15.0,129.0,99.0,53.0,68.0,0.0,406.0,1998
22,Michigan,54.0,62.0,26.0,341.0,301.0,358.0,219.0,5.0,1366.0,1998
23,Minnesota,35.0,30.0,13.0,160.0,156.0,175.0,81.0,0.0,650.0,1998
24,Mississippi,109.0,6.0,5.0,195.0,4.0,317.0,309.0,3.0,948.0,1998
25,Missouri,124.0,109.0,41.0,331.0,150.0,267.0,146.0,1.0,1169.0,1998
26,Montana,33.0,0.0,0.0,83.0,42.0,34.0,45.0,0.0,237.0,1998
27,Nebraska,35.0,0.0,0.0,100.0,53.0,61.0,66.0,0.0,315.0,1998
28,Nevada,69.0,16.0,20.0,97.0,80.0,56.0,23.0,0.0,361.0,1998
29,New Hampshire,9.0,1.0,0.0,43.0,24.0,28.0,21.0,2.0,128.0,1998
30,New Jersey,11.0,55.0,65.0,246.0,173.0,114.0,76.0,1.0,741.0,1998
31,New Mexico,123.0,21.0,1.0,101.0,43.0,65.0,70.0,0.0,424.0,1998
32,New York,55.0,49.0,119.0,332.0,267.0,310.0,382.0,0.0,1514.0,1998
33,North Carolina,63.0,77.0,24.0,340.0,194.0,405.0,493.0,0.0,1596.0,1998
34,North Dakota,7.0,2.0,5.0,17.0,14.0,20.0,27.0,0.0,92.0,1998
35,Ohio,46.0,85.0,17.0,280.0,267.0,353.0,372.0,2.0,1422.0,1998
36,Oklahoma,73.0,38.0,18.0,158.0,160.0,185.0,123.0,0.0,755.0,1998
37,Oregon,43.0,12.0,3.0,201.0,99.0,134.0,46.0,0.0,538.0,1998
38,Pennsylvania,82.0,50.0,35.0,371.0,337.0,314.0,289.0,3.0,1481.0,1998
39,Rhode Island,4.0,12.0,10.0,23.0,10.0,6.0,9.0,0.0,74.0,1998
40,South Carolina,99.0,17.0,2.0,207.0,230.0,307.0,45.0,95.0,1002.0,1998
41,South Dakota,9.0,1.0,1.0,52.0,38.0,45.0,19.0,0.0,165.0,1998
42,Tennessee,121.0,54.0,15.0,296.0,291.0,241.0,198.0,0.0,1216.0,1998
43,Texas,227.0,360.0,215.0,758.0,517.0,658.0,851.0,0.0,3586.0,1998
44,USA,3105.0,2283.0,1282.0,10663.0,7551.0,8630.0,7380.0,607.0,41501.0,1998
45,Utah,78.0,18.0,1.0,22.0,64.0,41.0,126.0,0.0,350.0,1998
46,Vermont,19.0,2.0,1.0,13.0,16.0,31.0,21.0,1.0,104.0,1998
47,Virginia,77.0,71.0,15.0,198.0,233.0,231.0,109.0,1.0,935.0,1998
48,Washington,44.0,44.0,26.0,181.0,123.0,177.0,67.0,0.0,662.0,1998
49,West Virginia,37.0,10.0,0.0,67.0,75.0,124.0,41.0,0.0,354.0,1998
50,Wisconsin,24.0,16.0,8.0,225.0,144.0,181.0,111.0,5.0,714.0,1998
51,Wyoming,36.0,3.0,0.0,55.0,17.0,34.0,6.0,3.0,154.0,1998
52,Alabama,105.0,57.0,2.0,286.0,207.0,325.0,154.0,2.0,1138.0,1999
53,Alaska,17.0,1.0,0.0,14.0,16.0,21.0,10.0,0.0,79.0,1999
54,Arizona,142.0,35.0,22.0,302.0,207.0,214.0,98.0,4.0,1024.0,1999
55,Arkansas,54.0,23.0,11.0,137.0,104.0,139.0,135.0,1.0,604.0,1999
56,California,239.0,289.0,344.0,1001.0,730.0,550.0,394.0,12.0,3559.0,1999
57,Colorado,98.0,26.0,22.0,158.0,87.0,46.0,187.0,2.0,626.0,1999
58,Connecticut,3.0,49.0,14.0,74.0,87.0,36.0,38.0,0.0,301.0,1999
59,Delaware,0.0,8.0,0.0,43.0,13.0,21.0,15.0,0.0,100.0,1999
60,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,1999
61,Florida,184.0,181.0,81.0,1013.0,352.0,113.0,730.0,266.0,2920.0,1999
62,Georgia,118.0,109.0,24.0,358.0,321.0,305.0,251.0,22.0,1508.0,1999
63,Hawaii,0.0,5.0,6.0,32.0,26.0,21.0,8.0,0.0,98.0,1999
64,Idaho,41.0,6.0,1.0,101.0,30.0,52.0,42.0,5.0,278.0,1999
65,Illinois,90.0,119.0,8.0,363.0,245.0,230.0,401.0,0.0,1456.0,1999
66,Indiana,75.0,23.0,21.0,230.0,213.0,302.0,154.0,2.0,1020.0,1999
67,Iowa,35.0,19.0,1.0,163.0,84.0,124.0,63.0,1.0,490.0,1999
68,Kansas,31.0,31.0,23.0,166.0,91.0,129.0,69.0,0.0,540.0,1999
69,Kentucky,57.0,24.0,13.0,165.0,99.0,303.0,152.0,1.0,814.0,1999
70,Louisiana,86.0,71.0,5.0,186.0,148.0,314.0,128.0,0.0,938.0,1999
71,Maine,14.0,0.0,5.0,30.0,40.0,47.0,39.0,6.0,181.0,1999
72,Maryland,25.0,36.0,39.0,141.0,123.0,91.0,63.0,72.0,590.0,1999
73,Massachusetts,12.0,50.0,14.0,108.0,110.0,58.0,62.0,0.0,414.0,1999
74,Michigan,40.0,101.0,35.0,379.0,267.0,340.0,215.0,5.0,1382.0,1999
75,Minnesota,31.0,30.0,11.0,158.0,147.0,160.0,89.0,0.0,626.0,1999
76,Mississippi,116.0,0.0,0.0,146.0,4.0,353.0,304.0,4.0,927.0,1999
77,Missouri,123.0,85.0,32.0,305.0,121.0,291.0,132.0,5.0,1094.0,1999
78,Montana,33.0,4.0,0.0,75.0,26.0,32.0,50.0,0.0,220.0,1999
79,Nebraska,37.0,1.0,0.0,89.0,47.0,49.0,72.0,0.0,295.0,1999
80,Nevada,59.0,16.0,6.0,107.0,78.0,55.0,29.0,0.0,350.0,1999
81,New Hampshire,13.0,2.0,1.0,30.0,33.0,26.0,32.0,3.0,140.0,1999
82,New Jersey,10.0,48.0,79.0,213.0,164.0,106.0,100.0,6.0,726.0,1999
83,New Mexico,98.0,19.0,1.0,99.0,63.0,100.0,80.0,0.0,460.0,1999
84,New York,57.0,41.0,120.0,367.0,315.0,298.0,401.0,0.0,1599.0,1999
85,North Carolina,55.0,70.0,15.0,266.0,226.0,368.0,504.0,1.0,1505.0,1999
86,North Dakota,11.0,0.0,5.0,35.0,16.0,22.0,30.0,0.0,119.0,1999
87,Ohio,74.0,98.0,19.0,235.0,214.0,320.0,405.0,65.0,1430.0,1999
