,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
0,Connecticut,143.0,2002-12-01 00:00:00,1804.0,2467.0
1,Maine,486.0,2002-12-01 00:00:00,232.0,1157.0
2,Massachusetts,484.0,2002-12-01 00:00:00,2973.0,4442.0
3,New Hampshire,370.0,2002-12-01 00:00:00,344.0,996.0
4,New Jersey,671.0,2002-12-01 00:00:00,3793.0,5877.0
5,New York,1523.0,2002-12-01 00:00:00,6042.0,10645.0
6,Pennsylvania,2255.0,2002-12-01 00:00:00,3603.0,9001.0
7,Rhode Island,59.0,2002-12-01 00:00:00,503.0,654.0
8,Vermont,249.0,2002-12-01 00:00:00,103.0,598.0
9,Delaware,141.0,2002-12-01 00:00:00,290.0,631.0
10,District of Columbia,0.0,2002-12-01 00:00:00,223.0,295.0
11,Florida,2844.0,2002-12-01 00:00:00,7083.0,15301.0
12,Georgia,2315.0,2002-12-01 00:00:00,3694.0,8953.0
13,Maryland,897.0,2002-12-01 00:00:00,2475.0,4187.0
14,North Carolina,2096.0,2002-12-01 00:00:00,2374.0,7426.0
15,South Carolina,1634.0,2002-12-01 00:00:00,1064.0,3746.0
16,Virginia,1918.0,2002-12-01 00:00:00,2830.0,6101.0
17,West Virginia,713.0,2002-12-01 00:00:00,350.0,1540.0
18,Illinois,1552.0,2002-12-01 00:00:00,4590.0,8230.0
19,Indiana,1700.0,2002-12-01 00:00:00,2323.0,5996.0
20,Iowa,1083.0,2002-12-01 00:00:00,699.0,2473.0
21,Kansas,842.0,2002-12-01 00:00:00,874.0,2273.0
22,Michigan,1856.0,2002-12-01 00:00:00,4212.0,8157.0
23,Minnesota,1600.0,2002-12-01 00:00:00,1874.0,4679.0
24,Missouri,1658.0,2002-12-01 00:00:00,2380.0,5792.0
25,Nebraska,690.0,2002-12-01 00:00:00,469.0,1521.0
26,North Dakota,262.0,2002-12-01 00:00:00,110.0,546.0
27,Ohio,1937.0,2002-12-01 00:00:00,3984.0,8757.0
28,South Dakota,356.0,2002-12-01 00:00:00,127.0,635.0
29,Wisconsin,1688.0,2002-12-01 00:00:00,1571.0,4642.0
30,Alabama,1298.0,2002-12-01 00:00:00,1550.0,4623.0
31,Arkansas,1023.0,2002-12-01 00:00:00,784.0,2547.0
32,Kentucky,1213.0,2002-12-01 00:00:00,1314.0,3690.0
33,Louisiana,1010.0,2002-12-01 00:00:00,1414.0,3452.0
34,Mississippi,1167.0,2002-12-01 00:00:00,646.0,2972.0
35,Oklahoma,943.0,2002-12-01 00:00:00,1295.0,3343.0
36,Tennessee,1688.0,2002-12-01 00:00:00,2336.0,5386.0
37,Texas,4133.0,2002-12-01 00:00:00,9561.0,17736.0
38,Alaska,85.0,2002-12-01 00:00:00,133.0,344.0
39,Arizona,1053.0,2002-12-01 00:00:00,2216.0,4399.0
40,California,4418.0,2002-12-01 00:00:00,19528.0,29052.0
41,Colorado,990.0,2002-12-01 00:00:00,1783.0,3505.0
42,Hawaii,140.0,2002-12-01 00:00:00,415.0,822.0
43,Idaho,383.0,2002-12-01 00:00:00,314.0,1085.0
44,Montana,446.0,2002-12-01 00:00:00,137.0,863.0
45,Nevada,337.0,2002-12-01 00:00:00,782.0,1499.0
46,New Mexico,762.0,2002-12-01 00:00:00,546.0,1923.0
47,Oregon,903.0,2002-12-01 00:00:00,1039.0,2686.0
48,Utah,519.0,2002-12-01 00:00:00,886.0,1934.0
49,Washington,836.0,2002-12-01 00:00:00,2353.0,4214.0
50,Wyoming,320.0,2002-12-01 00:00:00,100.0,629.0
51,Connecticut,139.0,2003-01-01 00:00:00,1701.0,2324.0
52,Maine,461.0,2003-01-01 00:00:00,234.0,1128.0
53,Massachusetts,468.0,2003-01-01 00:00:00,2927.0,4347.0
54,New Hampshire,356.0,2003-01-01 00:00:00,339.0,959.0
55,New Jersey,630.0,2003-01-01 00:00:00,3290.0,5188.0
56,New York,1294.0,2003-01-01 00:00:00,5639.0,10058.0
57,Pennsylvania,1959.0,2003-01-01 00:00:00,3349.0,7265.0
58,Rhode Island,34.0,2003-01-01 00:00:00,353.0,441.0
59,Vermont,236.0,2003-01-01 00:00:00,98.0,602.0
60,Delaware,144.0,2003-01-01 00:00:00,283.0,634.0
61,District of Columbia,0.0,2003-01-01 00:00:00,220.0,287.0
62,Florida,2688.0,2003-01-01 00:00:00,7098.0,15044.0
63,Georgia,2339.0,2003-01-01 00:00:00,3619.0,8816.0
64,Maryland,806.0,2003-01-01 00:00:00,2424.0,4007.0
65,North Carolina,1938.0,2003-01-01 00:00:00,2438.0,7038.0
66,South Carolina,1576.0,2003-01-01 00:00:00,1120.0,3744.0
67,Virginia,1748.0,2003-01-01 00:00:00,2719.0,5801.0
68,West Virginia,583.0,2003-01-01 00:00:00,318.0,1310.0
69,Illinois,1360.0,2003-01-01 00:00:00,4302.0,7576.0
70,Indiana,1446.0,2003-01-01 00:00:00,2222.0,5651.0
71,Iowa,936.0,2003-01-01 00:00:00,646.0,2190.0
72,Kansas,782.0,2003-01-01 00:00:00,809.0,2130.0
73,Michigan,1753.0,2003-01-01 00:00:00,4394.0,8151.0
74,Minnesota,1250.0,2003-01-01 00:00:00,1703.0,4102.0
75,Missouri,1228.0,2003-01-01 00:00:00,1887.0,4616.0
76,Nebraska,597.0,2003-01-01 00:00:00,447.0,1367.0
77,North Dakota,240.0,2003-01-01 00:00:00,104.0,509.0
78,Ohio,1695.0,2003-01-01 00:00:00,3729.0,8071.0
79,South Dakota,335.0,2003-01-01 00:00:00,118.0,598.0
80,Wisconsin,1412.0,2003-01-01 00:00:00,1510.0,4239.0
81,Alabama,1235.0,2003-01-01 00:00:00,1511.0,4483.0
82,Arkansas,878.0,2003-01-01 00:00:00,730.0,2260.0
83,Kentucky,1062.0,2003-01-01 00:00:00,1199.0,3368.0
84,Louisiana,943.0,2003-01-01 00:00:00,1333.0,3273.0
85,Mississippi,1093.0,2003-01-01 00:00:00,623.0,2875.0
86,Oklahoma,939.0,2003-01-01 00:00:00,1309.0,3340.0
87,Tennessee,1638.0,2003-01-01 00:00:00,2414.0,5458.0
88,Texas,4049.0,2003-01-01 00:00:00,9533.0,17719.0
89,Alaska,84.0,2003-01-01 00:00:00,122.0,328.0
90,Arizona,1030.0,2003-01-01 00:00:00,2150.0,4270.0
91,California,3124.0,2003-01-01 00:00:00,15544.0,22519.0
92,Colorado,957.0,2003-01-01 00:00:00,1738.0,3406.0
93,Hawaii,122.0,2003-01-01 00:00:00,294.0,622.0
94,Idaho,351.0,2003-01-01 00:00:00,311.0,1042.0
95,Montana,392.0,2003-01-01 00:00:00,130.0,769.0
96,Nevada,290.0,2003-01-01 00:00:00,791.0,1410.0
97,New Mexico,764.0,2003-01-01 00:00:00,527.0,1965.0
98,Oregon,829.0,2003-01-01 00:00:00,1016.0,2561.0
99,Utah,485.0,2003-01-01 00:00:00,872.0,1878.0
100,Washington,805.0,2003-01-01 00:00:00,2235.0,4037.0
101,Wyoming,444.0,2003-01-01 00:00:00,128.0,868.0
102,Connecticut,142.0,2003-12-01 00:00:00,1771.0,2425.0
103,Maine,478.0,2003-12-01 00:00:00,231.0,1139.0
