,Rural Interstate,Rural Other Arterial,Other Rural,Urban Interstate,Urban Other Arterial,Other Urban,All Systems
2001-01,19.426042,30.739645,29.494584,30.700441,71.048965,27.848687,209.258364
2001-02,18.58697,29.579354,28.19088,29.303498,67.545708,26.702532,199.908942
2001-03,22.181398,34.728551,33.219088,33.385817,77.556806,30.416563,231.488223
2001-04,22.698817,35.135015,33.574669,33.486493,75.996995,30.472769,231.364758
2001-05,23.852469,37.626077,36.292352,35.192281,79.525488,31.765014,244.253681
2001-06,24.164999,37.947002,35.907554,34.760596,78.741884,31.055743,242.577778
2001-07,26.077308,40.296282,37.263217,34.936884,78.834942,31.377217,248.78585
2001-08,26.035711,39.848409,37.042803,35.432186,81.30534,32.024181,251.68863
2001-09,22.438926,35.254515,33.485096,32.071618,72.245183,29.075321,224.570659
2001-10,23.37464,37.046334,35.467917,34.230545,78.85551,31.023989,239.998935
2001-11,22.730097,34.695851,32.610467,33.333223,76.124566,29.985401,229.47960500000002
2001-12,22.456626,34.047967,31.565386,33.056416,75.944601,31.015579,228.086575
2002-01,20.250475,31.501555,30.223053,31.515295,71.968184,28.35017,213.808732
2002-02,19.687259,30.78149,28.955739,30.245002,69.315689,27.477165,206.46234400000003
2002-03,23.320176,35.40762,33.319856,33.915915,77.477851,30.56338,234.004798
2002-04,22.917284,35.828042,33.804907,34.131906,77.092472,31.03462,234.80923099999998
2002-05,25.208015,38.9607,36.728277,36.02674,80.638033,32.324038,249.88580299999998
2002-06,25.242026,38.980474,36.276589,35.560817,78.954236,31.374699,246.38884099999999
2002-07,27.205265,41.218283,38.021476,35.619246,80.233412,31.897697,254.195379
2002-08,27.123883,40.944555,37.70517,36.323865,81.710844,32.435423,256.24374
2002-09,22.880656,36.181654,34.09907,33.522888,74.152591,29.759101,230.59596
2002-10,23.863428,37.599347,35.505235,35.095413,79.950139,31.277045,243.29060699999997
2002-11,22.378695,34.531622,32.25616,33.510239,76.006061,29.705893,228.38867
2002-12,23.536484,34.368507,31.645716,34.049212,76.437815,31.224215,231.26194900000002
2003-01,20.820217,31.981954,30.09379,32.083954,72.184112,28.503085,215.667112
2003-02,19.152252,29.718175,28.025549,29.525697,67.686601,26.682638,200.790912
2003-03,22.897043,35.448712,33.690593,33.786391,77.248119,30.260174,233.33103200000002
2003-04,23.874916,35.88688,33.887783,34.487748,77.159259,30.853367,236.14995299999998
2003-05,25.351372,39.038229,36.980969,36.045435,79.662367,32.122956,249.201328
2003-06,25.346721,39.061972,37.583739,35.881418,80.977097,33.203792,252.054739
2003-07,27.654863,41.64018,39.621212,36.169023,82.407271,34.01605,261.508599
